Program,Hubspot ID,Time Zone,Program Name,Current Cohort,Deposit Paid Date,Status,payment_status,Current Payment Status,Payment Mode,Call Status,Upfront/Non-Upfront payment,Original SSA
New ML,115518779955,America/Chicago,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd Mid-April 2026,27-Mar-2026,FULL_PAYMENT_PAID,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Manish
New ML,9590844,America/Los_Angeles,Machine Learning Program (with Agentic AI),Applied Agentic AI for EM's - Early-April 2026,29-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sharon
EdgeUp Step Up,302773301,America/New_York,EdgeUp 2026 Fullstack StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Early-April 2026,30-Mar-2026,FULL_PAYMENT_PAID,Refunded,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Zeeshan
Step Up,320759951,US/Pacific,Test Engineering Interview Prep Fast Track Program,Self-Paced Test Engineering FastTrack,30-Mar-2026,FULL_PAYMENT_PAID,has_paid_in_full,Dispute Lost,STRIPE_CARD,Onboarded,Upfront Payment,Suraj
Agentic SkillUp,12915745291,America/Chicago,AI Engineering,Applied Agentic AI for SWEs - Mid-April 2026,29-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Muskan
New ML,186340589590,America/New_York,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd End-May 2026,29-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Arush
EdgeUp,207771001198,America/New_York,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - Early-May 2026,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Manish
Step Up,208044959917,America/Chicago,Backend Interview Prep Fast Track Program,Self-Paced Backend FastTrack,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Zeeshan
EdgeUp,209032398221,America/New_York,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),Engineering Management Interview Prep - Mid-April 2026,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Manish
Step Up,210547972961,America/Chicago,Backend Interview Prep Fast Track Program,Self-Paced Backend FastTrack,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Anjali
Step Up,211075066279,America/Chicago,Test Engineering Interview Prep Fast Track Program,Self-Paced Test Engineering FastTrack,29-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Zeeshan
Advanced ML,211100795913,America/Los_Angeles,Advanced Machine Learning Program (with Agentic AI),Advanced Machine Learning Program - 2nd End-March 2026,30-Mar-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,VM - 4 Attempts,Flexipay,Nishtha
EdgeUp Step Up,211838211635,America/New_York,EdgeUp 2026 Security Engineering W/o Coding StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Early-April 2026,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Anjali
New ML,211840602474,America/Chicago,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd Mid-April 2026,30-Mar-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Muskan
New ML,212341704504,America/Chicago,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd End-May 2026,29-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Arush
EdgeUp,9250703,America/Los_Angeles,EdgeUp 2026 Fullstack LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - 2nd Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sharon
Step Up,9287570,America/Los_Angeles,Test Engineering DSA Only Interview Prep Fast Track Program,Self-Paced Test Engineering FastTrack,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Suraj
EdgeUp,9587270,America/New_York,EdgeUp 2026 Security Engineering LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Early-May 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Kamal
EdgeUp,130712712495,America/Indiana/Indianapolis,EdgeUp Data Engineering LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - Early-May 2026,30-Mar-2026,Refunded,Refunded,Refunded,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Archi
Step Up,183075780695,America/Texas,Fullstack Interview Prep Fast Track Program,Self-Paced Fullstack FastTrack,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Refunded,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Pragya
EdgeUp,190454356755,America/New_York,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Data Analyst & Business Analyst Interview Prep - Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Manish
EdgeUp,196714725300,America/New_York,EdgeUp 2026 Test Engineering LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Early-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Arush
EdgeUp,206693884557,America/New_York,EdgeUp 2026 Fullstack LevelUp Program (with Agentic AI Interview Prep),Fullstack Interview Prep - Early-April 2026,31-Mar-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Arush
EdgeUp,208403340454,America/New_York,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - 2nd-Mid April 2026,31-Mar-2026,DEPOSIT_PAID,has_dropped_out,Fully Paid,CLIMBCREDIT,Onboarded,Non-Upfront Payment,Kamal
Level Up,211613121909,America/Chicago,Fullstack Engineering Interview Prep Program,Fullstack Interview Prep - End-April 2026,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Samarth
Agentic SkillUp,211837493910,America/Los_Angeles,Applied Agentic AI Program,Applied Agentic AI - 2nd Mid-April 2026,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Nishtha
EdgeUp Step Up,212081795334,America/Los_Angeles,EdgeUp Machine Learning StepUp Program (with Agentic AI),Applied Agentic AI for SWEs - Early April 2026,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Sanjana
EdgeUp,212261680129,America/Los_Angeles,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),Engineering Management Interview Prep - Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Nishtha
Step Up,212361462886,America/Los_Angeles,Fullstack Interview Prep Fast Track Program,Self-Paced Fullstack FastTrack,31-Mar-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Samarth
EdgeUp Step Up,212396764848,America/New_York,EdgeUp 2026 Data Engineering StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - 2nd Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Kamal
EdgeUp,212533532193,America/New_York,EdgeUp 2026 Data Engineering LevelUp Program (with Agentic AI Interview Prep),Data Engineering Interview Prep - Early-April 2026,30-Mar-2026,ENROLLED_WITH_NO_DUES,Invalid,Invalid,CLIMBCREDIT,Invalid,Upfront Payment,Arush
Agentic SkillUp,14237730,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Early-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Nishtha
EdgeUp Step Up,9296337,America/Chicago,EdgeUp Engineering Management StepUp Program (with Agentic AI),Applied Agentic AI for EM's - 2nd Mid-April 2026,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,VM/VM Not Setup,Upfront Payment,SSA
Agentic SkillUp,9293745,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI for EM's - Early-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sudhanshu
EdgeUp,9259602,America/Los_Angeles,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - Early-May 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sharon
EdgeUp,9550406,America/Eastern,EdgeUp Engineering Manager LevelUp Program (with Agentic AI),Applied Agentic AI for EM's - 2nd Mid-April 2026,26-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,VM - 4 Attempts,Upfront Payment,Archi
EdgeUp,9547821,America/Los_Angeles,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - 2nd Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Safoora
EdgeUp Step Up,243138401,America/Los_Angeles,EdgeUp 2026 Engineering Management StepUp Program (with Agentic AI Interview Prep),"Applied Agentic AI for EM's - 2nd Mid-May 2026
",31-Mar-2026,ENROLLED,Flexipay_has_time_to_pay,Refunded,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Pragya
Agentic SkillUp,520514751,America/Phoenix,Applied Agentic AI Program for EM,Applied Agentic AI for EM's - 2nd Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,VM - 4 Attempts,Upfront Payment,Nishtha
Level Up,539381601,America/New_York,Site Reliability Engineering & DevOps Interview Prep Program,SRE Interview Prep - Mid-April 2026,1-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Disha
EdgeUp,7887364185,America/New_York,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-July 2026,31-Mar-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Archi
Agentic SkillUp,54554854225,America/New_York,Applied Agentic AI Program for PM/TPM,Applied Agentic AI - 2nd Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Muskan
EdgeUp,113893258023,America/Indiana/Indianapolis,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),"Applied Agentic AI - 2nd Mid-April 2026",31-Mar-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Ajil
EdgeUp,157954405151,America/Los_Angeles,EdgeUp 2026 Data Analyst & Business Analyst LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-April 2026,31-Mar-2026,REFUNDED,REFUNDED,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Sudhanshu
EdgeUp Step Up,184955840777,America/Los_Angeles,EdgeUp Engineering Management StepUp Program (with Agentic AI),Applied Agentic AI for EM's - 2nd Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Suraj
EdgeUp,192527430520,America/Detroit,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Manish
Agentic pathway,203281862317,America/New_York,Agentic AI Pathway (Tech Professionals),,31-Mar-2026,FULL_PAYMENT_PAID,has_paid_in_full,Invalid,CLIMBCREDIT,Yet to Connect,Upfront Payment,SSA
New ML,207298870415,America/New_York,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd Mid-April 2026,1-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,LIQUILOAN,Onboarded,Upfront Payment,Muskan
Agentic SkillUp,208629103715,America/New_York,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Kamal
Step Up,208885071150,America/Los_Angeles,Site Reliability Engineering Interview Prep Fast Track Program,Self-Paced SRE FastTrack,31-Mar-2026,ENROLLED_WITH_NO_DUES,REFUNDED,Refunded,ACH_TRANSFER,Onboarded,Upfront Payment,Disha
Step Up,209405132097,America/Los_Angeles,Machine Learning Interview Prep Fast Track Program,Self-Paced Machine Learning FastTrack,1-Apr-2026,ENROLLED_WITH_NO_DUES,REFUNDED,Refunded,ACH_TRANSFER,Onboarded,Upfront Payment,Ajil
New ML,210479676806,America/Chicago,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sharon
Level Up,210749691767,America/New_York,Site Reliability Engineering & DevOps Interview Prep Program,SRE Interview Prep - Early-April 2026,30-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Disha
EdgeUp Step Up,211591380647,America/Los_Angeles,EdgeUp 2026 Test Engineering StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sharon
EdgeUp Step Up,212534810502,America/New_York,EdgeUp 2026 Engineering Management StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - 2nd Mid-April 2026,31-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Ajil
EdgeUp Step Up,9307719,America/Los_Angeles,EdgeUp 2026 Engineering Management StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - 2nd Mid-April 2026,31-Mar-2026,ENROLLED,has_time_to_pay,Fully Paid,STRIPE_MANUAL_PAYMENT,Onboarded,Non-Upfront Payment,Nishtha
Agentic SkillUp,9555116,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Mid-April 2026,1-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sudhanshu
EdgeUp Step Up,9267121,America/Los_Angeles,EdgeUp 2026 Embedded Systems StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Early-June 2026,1-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sharon
New ML,27247730,America/Chicago,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd Mid-July 2026,1-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Disha
EdgeUp Step Up,111099751,America/Chicago,EdgeUp Site Reliability Engineering & DevOps StepUp Program (with Agentic AI),Applied Agentic AI - 2nd Mid-February 2026,1-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Archi
EdgeUp,270294451,America/Chicago,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-April 2026,1-Apr-2026,ENROLLED,has_time_to_pay,Refunded,STRIPE_CARD,Onboarded,Non-Upfront Payment,Manish
EdgeUp,135446777462,America/New_York,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),"
Applied Agentic AI for EM's - 2nd Mid-April 2026",2-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Zeeshan
EdgeUp,194232871566,America/Chicago,EdgeUp Data Engineering LevelUp Program (with Agentic AI),"
Data Engineering Interview Prep - Mid-April 2026",2-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Zeeshan
EdgeUp Step Up,210870815847,America/Chicago,EdgeUp 2026 Frontend StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-April 2026,1-Apr-2026,ENROLLED_WITH_NO_DUES,Refunded,Refunded,STRIPE_MANUAL_PAYMENT,Onboarded,Upfront Payment,Archi
EdgeUp,211764270187,America/New_York,EdgeUp 2026 Product Manager (Tech) LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-April 2026,1-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Manish
AI/DS SwitchUp,211836854787,America/Los_Angeles,AI Data Science SwitchUp Program,AI Data Science SwitchUp - Early-August 2026,1-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Invalid,CLIMBCREDIT,Invalid,Upfront Payment,Anwesh
Agentic SkillUp,212354084696,America/New_York,Applied Agentic AI Program for SWEs,"
Applied Agentic AI for SWEs - 2nd Mid-April 2026",1-Apr-2026,ENROLLED_WITH_NO_DUES,Refunded,Refunded,ACH_TRANSFER,Onboarded,Upfront Payment,Zeeshan
EdgeUp Step Up,212907988749,America/Phoenix,EdgeUp Engineering Management StepUp Program (with Agentic AI),Applied Agentic AI for EM's - Early-April 2026,2-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Sharon
EdgeUp,213018896151,America/Los_Angeles,"
EdgeUp Engineering Manager LevelUp Program (with Agentic AI)",Applied Agentic AI for EM's - 2nd Mid-April 2026,2-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Anwesh
Level Up,213089824805,America/Los_Angeles,Frontend Engineering Interview Prep Program,Frontend Interview Prep - Mid-April 2026,2-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Anwesh
Agentic SkillUp,9293349,America/New_York,AI Engineering,Applied Agentic AI for SWEs - Early-April 2026,26-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,SSA
EdgeUp Step Up,54083051,America/Los_Angeles,EdgeUp 2026 Product Manager (Tech) StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-April 2026,2-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Manish
EdgeUp Step Up,99281201,America/Los_Angeles,EdgeUp 2026 Product Manager (Tech) StepUp Program (with Agentic AI Interview Prep),"
Applied Agentic AI - 2nd Mid-April 2026",2-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Safoora
Agentic SkillUp,264029851,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Early-May 2026,2-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Safoora
EdgeUp,7906149021,America/Los_Angeles,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),"Applied Agentic AI for SWEs - Mid-April 2026
",2-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Suraj
EdgeUp,15631379767,America/Chicago,EdgeUp 2026 Fullstack LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-April 2026,2-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Suraj
EdgeUp,83525717174,America/Detroit,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),Backend Interview Prep - 2nd Mid-May 2026,2-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Zeeshan
EdgeUp,84743429932,America/New_York,EdgeUp 2026 Fullstack LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - 2nd Mid-April 2026,2-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Zeeshan
Agentic SkillUp,139721832360,America/Chicago,Applied Agentic AI Program for PM/TPM,Applied Agentic AI - 2nd Mid-April 2026,2-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Safoora
EdgeUp,211917184372,America/Los_Angeles,EdgeUp 2026 Test Engineering LevelUp Program (with Agentic AI Interview Prep),Test Engineering DSA Interview Prep - Early-April 2026,2-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Suraj
Advanced ML,212279730219,America/Chicago,Advanced Machine Learning Program (with Agentic AI),Advanced Machine Learning Program - 2nd End-March 2026,2-Apr-2026,ENROLLED,has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Kamal
EdgeUp Step Up,213081389959,America/Los_Angeles,EdgeUp 2026 Fullstack StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Early-April 2026,2-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sharon
Level Up,213302651913,America/New_York,Backend Engineering Interview Prep Program,Product Management Interview Prep - Early-April 2026,2-Apr-2026,DEPOSIT_PAID,Flexipay_has_time_to_pay,Flexipay Refunded,0_PERCENT_APR_FLEXIPAY,Incomplete OB ,Flexipay,Kamal
